列車ID,種別ID,行先,駅ID,着時刻,発時刻
TY0714,ALL,元町・中華街,TY11,---,7:14
TY0714,ALL,元町・中華街,TY12,7:16,7:17
TY0714,ALL,元町・中華街,TY13,7:18,7:19
TY0714,ALL,元町・中華街,TY14,7:21,7:22
TY0714,ALL,元町・中華街,TY15,7:24,7:24
TY0714,ALL,元町・中華街,TY16,7:26,7:30
TY0714,ALL,元町・中華街,TY17,7:32,7:32
TY0714,ALL,元町・中華街,TY18,7:34,7:34
TY0714,ALL,元町・中華街,TY19,7:36,7:36
TY0714,ALL,元町・中華街,TY20,7:38,7:38
TY0714,ALL,元町・中華街,TY21,7:39,---
TY0714,ALL,元町・中華街,MM01,---,7:40
TY0714,ALL,元町・中華街,MM02,7:41,7:41
TY0714,ALL,元町・中華街,MM03,7:43,---
TY0710,EXP,湘南台,TY11,---,7:20
TY0710,EXP,湘南台,TY13,7:23,---
TY0722,ALL,元町・中華街,TY11,---,7:22
TY0722,ALL,元町・中華街,TY12,7:24,7:24
TY0722,ALL,元町・中華街,TY13,7:26,7:26
TY0722,ALL,元町・中華街,TY14,7:28,7:29
TY0722,ALL,元町・中華街,TY15,7:31,7:31
TY0722,ALL,元町・中華街,TY16,7:33,7:36
TY0722,ALL,元町・中華街,TY17,7:38,7:38
TY0722,ALL,元町・中華街,TY18,7:40,7:40
TY0722,ALL,元町・中華街,TY19,7:42,7:42
TY0722,ALL,元町・中華街,TY20,7:44,7:44
TY0722,ALL,元町・中華街,TY21,7:45,---
TY0722,ALL,元町・中華街,MM01,---,7:46
TY0722,ALL,元町・中華街,MM02,7:48,7:48
TY0722,ALL,元町・中華街,MM03,7:49,---
TY0725,EXP,元町・中華街,TY11,---,7:25
TY0725,EXP,元町・中華街,TY13,7:28,7:29
TY0725,EXP,元町・中華街,TY14,7:31,7:31
